"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Shohei Ohtani","LAD","SP,DH","114.5","138","8","0","3.36","1.10","43","89","38","14","23","23","5","1"
"Tarik Skubal","DET","SP","195.1","238","14","0","2.72","0.96","59","148","40","19","31","31","7","1"
"Paul Skenes","PIT","SP","186.9","222","14","0","2.77","1.03","57","145","48","16","31","31","7","1"
"Garrett Crochet","BOS","SP","186.2","229","14","0","2.99","1.06","62","150","47","20","31","31","7","1"
"Cristopher Sanchez","PHI","SP","193.2","188","13","0","3.19","1.14","68","173","47","17","31","31","8","1"
"Yoshinobu Yamamoto","LAD","SP","157.7","172","12","0","3.27","1.11","57","127","47","16","27","27","6","0"
"Hunter Brown","HOU","SP","180.5","195","13","0","3.43","1.17","69","153","59","19","31","31","8","1"
"Chris Sale","ATL","SP","157.6","192","11","0","3.24","1.10","57","130","42","17","27","27","6","0"
"Logan Gilbert","SEA","SP","166.2","185","11","0","3.42","1.06","63","137","39","21","29","29","7","1"
"Logan Webb","SF","SP","198.0","188","14","0","3.26","1.17","72","186","45","16","32","32","9","1"
"Jacob deGrom","TEX","SP","160.3","177","11","0","3.47","1.06","62","131","38","22","28","28","8","0"
"Bryan Woo","SEA","SP","186.6","188","13","0","3.40","1.05","70","157","40","24","31","31","9","0"
"Hunter Greene","CIN","SP","169.2","203","11","0","3.68","1.11","69","133","55","24","29","29","8","1"
"Cole Ragans","KC","SP","155.8","193","10","0","3.39","1.14","59","123","55","17","28","28","7","0"
"Max Fried","NYY","SP","182.6","172","13","0","3.31","1.16","67","159","53","17","30","30","8","1"
"Freddy Peralta","NYM","SP","166.0","184","12","0","3.79","1.20","70","137","62","22","30","30","8","0"
"Joe Ryan","MIN","SP","169.8","186","11","0","3.78","1.10","71","147","40","25","29","29","9","0"
"George Kirby","SEA","SP","172.0","168","12","0","3.59","1.11","69","157","33","21","30","30","9","0"
"Dylan Cease","TOR","SP","176.3","208","11","0","3.74","1.21","73","146","67","21","31","31","9","0"
"Blake Snell","LAD","SP","140.7","174","10","0","3.46","1.21","54","109","61","15","26","26","6","0"
"Spencer Schwellenbach","ATL","SP","160.6","158","11","0","3.53","1.11","63","145","34","19","27","27","7","1"
"Jesus Luzardo","PHI","SP","175.2","196","12","0","3.71","1.18","72","152","55","22","31","31","9","0"
"Framber Valdez","DET","SP","183.7","173","13","0","3.49","1.23","71","164","61","16","30","30","9","2"
"Kyle Bradish","BAL","SP","145.5","155","9","0","3.57","1.18","58","125","46","16","27","27","7","0"
"Nick Pivetta","SD","SP","176.3","191","11","0","3.91","1.16","77","151","53","27","30","30","10","0"
"Mason Miller","SD","RP","67.0","105","4","33","2.58","0.98","19","40","25","6","63","0","2","0"
"Pablo Lopez","MIN","SP","164.7","165","11","0","3.82","1.19","70","154","42","20","28","28","9","0"
"Nolan McLean","NYM","SP","149.2","143","10","0","3.83","1.28","64","133","59","16","26","26","8","0"
"Andres Munoz","SEA","RP","64.0","81","4","32","2.88","1.11","20","46","25","5","63","0","3","0"
"Tyler Glasnow","LAD","SP","132.0","154","9","0","3.69","1.17","54","106","48","16","24","24","6","0"
"Edwin Diaz","LAD","RP","67.6","94","5","37","3.05","1.06","23","48","23","7","66","0","2","0"
"Spencer Strider","ATL","SP","155.2","184","11","0","3.95","1.21","68","133","54","21","28","28","8","0"
"Kevin Gausman","TOR","SP","181.0","177","12","0","3.95","1.21","79","166","53","24","31","31","9","1"
